,checkins,fan_count,name,lat,lon
338,2083,101,"Katedrála svatého Víta, Václava a Vojtěcha",50.090833333333,14.400833333333
339,2078,473,Hotel Beseda Prague,50.0809799,14.42139
340,2077,601,Ramada Prague City Centre,50.0817,14.42847
341,2070,187,"Ministerstvo zahraničních věcí ČR, Černínský palác",50.088716481618,14.391184631905
342,2067,11,Vltava Riverside,50.074818155728,14.413590770869
343,2007,7710,PURO Gelato,50.068269528522,14.414980766946
344,1974,52,Karlovo náměstí,50.07583,14.42083
345,1955,1369,Centrum Tance Praha,50.081724966651,14.426887964095
346,1925,2476,Spartan Gym,50.07974,14.44484
347,1920,1207,Hotel Savoy,50.08813,14.38849
348,1917,16,Prague Near Charles Bridge,50.087386206176,14.406947317647
349,1916,48,The Metronome,50.094664226664,14.415797399732
350,1901,1868,Café Baribal,50.06854,14.41508
351,1897,105,České Středohoří,50.1043543971,14.435202862383
352,1893,8154,Kavárna Místo,50.0989999,14.40435
353,1876,4547,Studio ALTA,50.10518,14.43371
354,1860,3831,Asian Temple,50.0912209,14.4209604
355,1859,746,Café Level&Bar Quadrio,50.081624791343,14.42092336403
356,1837,613,Hotel Pod Vezi ****,50.08733,14.40668
357,1835,114,Pizzeria Corto Restaurant,50.08507,14.42094
358,1799,839,Dejvická Nádražka,50.097203648814,14.399872265
359,1797,2805,Louis Vuitton Prague,50.08922,14.41931
360,1793,200,TCM AC Sparta Praha-Strahov,50.080601,14.389205
361,1789,1525,ABSOLUTNÍ BOWLING,50.105823248418,14.447032359512
362,1773,1192,Museum KGB in Prague,50.0871315,14.3995199
363,1764,90,Karolinum,50.08635833,14.42338611
364,1749,60,Wallenstein Gardens,50.089290021034,14.407232170938
365,1744,58,Chrám Svatého Víta V Praze.,50.091137035046,14.401563389877
366,1744,2554,Hotel Mucha Prague,50.09166,14.44129
367,1742,827,Ananas-Bananas,50.084656584067,14.448098314598
368,1735,8153,Moment,50.076287730199,14.447050421721
369,1735,7681,Kočičí kavárna na Smíchově,50.07834,14.40686
370,1727,1324,Botanická zahrada Přírodovědecké fakulty Univerzity Karlovy v Praze,50.07054,14.41972
371,1720,215,Bella Vida café,50.082097501351,14.407953700552
372,1703,457,Divadlo Spejbla A Hurvínka,50.099203274903,14.399265573305
373,1695,1207,MEZCAL latino bar & garden restaurant,50.07526,14.43433
374,1694,9,Praha Letňany,50.10566,14.42927
375,1693,33,Praha- Wenceslas Square,50.077290517481,14.429533172967
376,1690,164,"Rašínovo nábřeží , Prague",50.07145,14.41441
377,1687,141,Strahov Library,50.08647462413,14.388633233588
378,1686,24,Domaaa,50.07913,14.43303
379,1668,529,Restaurace U Mlynáře,50.088672326771,14.400855924682
380,1662,594,Hotel Assenzio Prague,50.070853376392,14.429848353765
381,1657,12,Slovansky Ostrov,50.078277848,14.4140209
382,1651,46,Letenské Náměstí,50.100033870541,14.422966606115
383,1638,2494,Seznam.cz,50.07108,14.40094
384,1629,1027,Jazzboat,50.090678577304,14.415335449496
385,1627,37,"Praha 7, Holesovice",50.102168003443,14.446082657385
386,1621,390,Restaurant Baterka Bílkova,50.09105,14.42033
387,1617,74,Václavské náměstí,50.081388888889,14.4275
388,1604,244,Starbucks Česká republika,50.100013834235,14.395703295792
389,1600,55,Muro De John Lennon En Mala Strana Praha,50.077337720478,14.418247165172
390,1593,6795,Maso a kobliha,50.09184,14.43466
391,1592,5791,KRYMSKÁ,50.07125128573,14.450222199977
392,1591,208,Vinobraní Pražský Hrad,50.0931616296,14.4019546292
393,1586,348,Best Western Hotel Kinsky Garden,50.078160202674,14.402385095517
394,1578,6828,Úřad vlády ČR / The Office of the Government of the Czech Republic,50.092035859623,14.411681542262
395,1576,3086,StalinPlaza,50.09269467,14.4174168325
396,1569,24,Boat Trip Prague,50.092155,14.416697
397,1562,659,Bernard Beer Spa,50.07213,14.42966
398,1548,4796,POTRVÁ,50.098789904619,14.405956193007
399,1545,26,Prague Castle Gardens,50.0718032,14.3948002
400,1537,38,Tyršův Dům,50.083375441064,14.406357657769
401,1521,14,Petřín Hill,50.0799606,14.4213641
402,1515,4937,OMG Party Prague,50.10536,14.44752
403,1514,24,"Nerudova, Prague",50.08851,14.39943
404,1509,262,U Zlatého Slona,50.08503,14.42051
405,1503,858,Fittop Wellness Centrum official,50.08515,14.44536
406,1488,8520,Gentlemen Brothers Barber Shop Vinohradská,50.07716,14.44581
407,1488,318,Google Prague,50.07031,14.40266
408,1485,417,FactoryPro,50.097338673792,14.405561679685
409,1484,5920,Ac Sparta Praha 1893,50.099636225942,14.416066939898
410,1480,347,Korso Krymská,50.071506,14.448713
411,1480,65,Mylnec Restaurant Prague,50.08511482883,14.413591354971
412,1474,15,"Pražský hrad, Praha (Prague Castle)",50.075088341356,14.427664754716
413,1467,23,Prague St Nicolas Church,50.087748521915,14.419990084648
414,1461,4912,Café Sladkovský,50.07104,14.4489
415,1459,50,Vyton,50.070863145323,14.414119640142
416,1448,132,Cloud 9 Hilton Prague Skybar,50.093711137776,14.43954598983
417,1434,1547,Planetárium Praha,50.10533,14.42742
418,1432,239,Prague SaSaZu,50.099284758293,14.444905003659
419,1427,1567,Písecká brána,50.0951499,14.40574
420,1427,24,Alšovo Nábřeží,50.088620845868,14.41397350548
421,1425,8000,Invisible Exhibition - Neviditelná výstava,50.078418731689,14.421193600844
422,1423,4899,Nejen Bistro,50.09144,14.4468
423,1420,3147,Oliveira -  Wine Tapas Market,50.07106,14.44158
424,1405,787,K The Two Brothers Indian Restaurant,50.091382074331,14.433828588504
425,1403,347,OA Krupkovo náměstí,50.1044276,14.4076653
426,1396,75,"Unihoc aréna, Kotlářka",50.107051757694,14.38597034991
427,1390,1722,Pastař,50.08159,14.40784
428,1383,35,"John Lennon Wall - Prague, Czech Republic",50.09245377,14.441660555
429,1378,209,Praha Nemocnice Motol,50.07536,14.44882
430,1377,659,Restaurace Vila Kajetánka,50.087559122437,14.37352864187
431,1372,1106,taneční studio Flame Dance,50.091455264897,14.440898258892
432,1371,228,Sedlčanská Kotlina,50.069629690829,14.379024153322
433,1356,754,U Zajíce - Pivovar Kynšperk 1595,50.0852099,14.42013
434,1338,26,"Obecni Dum, Praha",50.087565899524,14.428231809524
